order_number,manufacturer_name,purchase_price,handling_fee,photo_fee
22-12219-31147,ホンダ,2900,440,
12-12231-54981,ホンダ,2900,440,
15-12255-36932,トヨタ,1600,440,440
09-12090-60140,トヨタ,,,
25-12247-60267,マツダ,8800,440,440
06-12269-18840,トヨタ,11200,440,
07-12271-56033,ホンダ,3600,440,440
24-12267-77194,ホンダ,13600,440,
11-12267-51028,ホンダ,19000,440,
04-12278-50984,ホンダ,3400,440,440
23-12258-78008,トヨタ,69600,440,
03-12283-12067,トヨタ,11200,440,
05-12281-49877,ホンダ,6000,440,
03-12285-46460,トヨタ,11200,440,
10-12279-77443,ホンダ,6200,440,
16-12276-38514,トヨタ,10200,440,
18-12274-33795,トヨタ,4600,440,
18-12275-40955,ホンダ,6000,440,
10-12284-76840,マツダ,6000,440,440
01-12294-89508,ホンダ,7200,770,440
22-12275-37153,トヨタ,16400,440,
23-12274-96322,ホンダ,6100,440,440
20-12281-01826,トヨタ,11200,440,
24-12291-52365,ホンダ,7200,440,
16-12287-21596,トヨタ,4600,440,
18-12286-07203,ホンダ,22400,440,
26-12279-63838,ホンダ,2900,440,
18-12288-68797,トヨタ,8200,440,440
17-12290-09722,トヨタ,20600,440,
25-12281-43417,三菱,15300,440,
21-12286-92479,トヨタ,11200,440,
24-12301-33716,ホンダ,6000,440,
18-12294-99411,トヨタ,11200,440,
15-12299-53568,トヨタ,4600,440,
25-12288-62931,ホンダ,5500,440,440
17-12300-66693,三菱,10800,440,
08-12311-51936,トヨタ,2600,440,440
10-12311-16947,トヨタ,4600,440,
06-12317-47685,ホンダ,15600,440,
26-12297-95854,ヤマハ,11300,440,440
09-12318-91324,トヨタ,,,
24-12317-22579,トヨタ,4600,440,
26-12300-13389,スバル,30000,440,
13-12315-65653,トヨタ,9800,440,440
02-12330-27414,トヨタ,,,
22-12308-27267,トヨタ,8400,440,
20-12311-35263,トヨタ,47400,440,
08-12325-08338,ホンダ,22400,440,440
06-12332-65758,三菱,5300,440,440
05-12340-52325,トヨタ,12700,440,
08-12340-28740,ホンダ,24000,440,440
14-12336-44373,トヨタ,51600,440,
03-12348-86595,トヨタ,19800,440,
24-12343-38765,ホンダ,7200,440,
16-12337-55142,トヨタ,11200,440,
10-12346-95547,ホンダ,6500,440,440
10-12348-27086,三菱,15000,440,440
07-12353-38685,トヨタ,47400,440,
13-12347-16901,トヨタ,16800,440,
19-12342-14533,トヨタ,23200,440,440
07-12353-38684,トヨタ,38800,440,
07-12357-35921,三菱,12100,,440
21-12343-12951,トヨタ,13400,440,440
06-12362-93164,ホンダ,2100,440,
27-12342-33896,トヨタ,41600,440,440
15-12355-71532,トヨタ,11200,440,
17-12355-18814,ホンダ,60600,440,440
03-12372-38597,ヤマハ,11300,440,
15-12360-14241,トヨタ,11200,440,
05-12375-50715,ホンダ,6300,440,440
05-12376-34922,トヨタ,20700,440,440
01-12380-63401,トヨタ,47400,440,
06-12379-17720,トヨタ,5200,440,440
10-12375-83207,三菱,4700,440,440
22-12362-88799,ホンダ,8100,440,
09-12380-72169,トヨタ,7500,440,
13-12378-56855,トヨタ,13400,440,440
04-12388-34674,トヨタ,40800,440,440
16-12376-72287,トヨタ,,440,440
10-12384-08984,ホンダ,,,